Recency,Frequency,Monetary,Cluster_2,Cluster_4,Segment,PCA1,PCA2
326,1,77183.6,1,3,Regular Customers,0.8733383720871233,2.6916107150844253
2,7,4310.0,1,0,Champions,2.5518744831222575,-0.8028584565784533
75,4,1797.24,1,3,Regular Customers,0.4773394075321925,0.7478671898845528
19,1,1757.55,0,2,Recent Customers,0.14760886406696816,-0.45706580927755847
310,1,334.4,0,1,At Risk,-1.6862551390641356,0.6790349444153215
36,8,2506.04,1,3,Regular Customers,1.4417318827045682,0.6374134047607792
204,1,89.0,0,1,At Risk,-2.1508032518105358,-0.06429463777775524
232,1,1079.4,0,1,At Risk,-1.0213019914127106,0.9220157633544532
214,1,459.4,0,1,At Risk,-1.3950395877427841,0.5603840767546805
23,3,2811.43,1,3,Regular Customers,0.9278083476336718,0.09467236556320427
33,1,6207.67,1,3,Regular Customers,0.5430368264902349,0.33874658386446077
2,2,1168.06,1,2,Recent Customers,1.0456016685963108,-1.653320668954559
58,4,6310.03,1,3,Regular Customers,1.1693575279866448,1.0446122601268362
52,3,2662.06,1,3,Regular Customers,0.5992988714469005,0.5770247834330703
287,1,189.9,0,1,At Risk,-1.9241271046700124,0.4250719900016714
3,10,5226.23,1,0,Champions,2.8215121299246833,-0.4284852272465628
110,2,552.0,0,1,At Risk,-0.6887133261957893,0.3631274391889979
8,4,1313.1,1,2,Recent Customers,1.1436135739678934,-0.7188755915320818
291,2,641.38,0,1,At Risk,-0.9871518629166011,1.0308510199602174
4,1,168.9,0,2,Recent Customers,-0.43094752699380395,-2.187045705844122
51,4,3541.94,1,3,Regular Customers,0.9438515576658634,0.7542796932326143
45,2,1887.96,0,3,Regular Customers,0.23024835946544248,0.2520976032566335
72,3,1298.04,0,3,Regular Customers,0.13662280163412605,0.5185463000377041
311,1,364.6,0,1,At Risk,-1.6466016669306938,0.7124702878424027
25,1,742.9300000000001,0,2,Recent Customers,-0.3605288117200882,-0.6040678963991587
11,2,457.5,0,2,Recent Customers,0.07223276167155421,-1.115392323037843
315,2,1628.12,0,3,Regular Customers,-0.5760688882074648,1.4198586829122222
130,1,4008.62,0,3,Regular Customers,-0.179540763193864,1.0345742256295656
82,2,852.24,0,3,Regular Customers,-0.3720373401887733,0.33679803853320506
22,4,2724.81,1,3,Regular Customers,1.1311467953992271,0.14165562210070765
5,5,1845.31,1,0,Champions,1.62470654112169,-0.7823299285895331
185,5,1850.56,1,3,Regular Customers,0.31427663986289145,1.3956319536110557
29,2,585.27,0,2,Recent Customers,-0.1612314807974229,-0.4449939894263725
338,2,401.9,0,1,At Risk,-1.2653532561060878,0.9555653484431773
16,6,2780.66,1,0,Champions,1.560695008641628,0.08612308528882061
80,1,549.84,0,1,At Risk,-0.937098200356821,0.006862486120639965
22,1,439.66,0,2,Recent Customers,-0.5619975953740696,-0.8725139920482803
72,4,1582.6000000000001,1,3,Regular Customers,0.43245514705932286,0.6760429587082991
64,2,1272.48,0,3,Regular Customers,-0.08877265692538856,0.32768236118107474
19,12,3018.63,1,0,Champions,2.0976792467991605,0.4558406266773308
36,2,2409.9,1,3,Regular Customers,0.4290997856606494,0.20293114700744938
46,1,1635.6599999999999,0,3,Regular Customers,-0.2128356393171133,0.058417199010400316
119,4,1108.65,0,3,Regular Customers,0.07395349029367274,0.8615980966365696
303,1,84.3,0,1,At Risk,-2.3267486705295655,0.1659531611941966
323,1,225.6,0,1,At Risk,-1.8878323637028054,0.5621768371605789
50,1,427.7,0,1,At Risk,-0.8792415793144248,-0.37771245603013415
149,1,1710.39,0,3,Regular Customers,-0.6349693681322687,0.8103531090659392
22,2,3415.3,1,3,Regular Customers,0.7759813884580938,0.028489315736765934
50,5,1708.1200000000001,1,3,Regular Customers,0.7705957840620565,0.546214446255992
33,5,2888.55,1,3,Regular Customers,1.1744722380021981,0.48042731265193767
79,3,11072.67,1,3,Regular Customers,1.1177334528944587,1.3570637037754012
309,2,693.3299999999999,0,1,At Risk,-0.973128600159607,1.0970953044630827
75,3,1226.88,0,3,Regular Customers,0.09452602349256056,0.5235594017787581
67,3,758.1,0,3,Regular Customers,-0.09101256506569147,0.2778996748576024
217,3,562.41,0,1,At Risk,-0.6773934694661106,0.9078482306637348
24,21,124914.53,1,0,Champions,4.253525653047013,2.154292100458147
3,9,3649.1,1,0,Champions,2.56498763695852,-0.5957388289747906
113,1,668.58,0,1,At Risk,-0.9750876126818997,0.29460458980755616
64,1,600.39,0,1,At Risk,-0.8114044942520925,-0.10066577361855608
16,4,807.04,1,2,Recent Customers,0.6700873081213399,-0.4928104862974703
96,3,803.5600000000001,0,3,Regular Customers,-0.19912165949612362,0.5242586369353098
1,8,1859.31,1,0,Champions,2.4148455960953146,-1.3209300420574237
163,2,1760.96,0,3,Regular Customers,-0.28835809484363023,1.032624305328618
78,1,777.2,0,1,At Risk,-0.7637084323584055,0.11686011714034222
195,1,582.73,0,1,At Risk,-1.2471584042956847,0.5881714868887626
22,3,825.8,1,2,Recent Customers,0.36358520355562157,-0.3781816598008337
26,9,7956.46,1,0,Champions,2.205081856404461,0.8986332463068449
9,4,3750.4,1,0,Champions,1.6007443824338843,-0.27004181346525263
43,1,256.4,0,1,At Risk,-1.0647240384456156,-0.6570943263722828
36,15,6419.95,1,0,Champions,2.408282333421584,1.200022338512633
43,5,5059.32,1,3,Regular Customers,1.341665115707941,0.8479486492927447
1,7,13375.87,1,0,Champions,3.2436748057961124,-0.6474879773524043
85,2,806.14,0,3,Regular Customers,-0.4119371938234448,0.33907773634261795
80,2,7829.89,1,3,Regular Customers,0.6883837225964801,1.1287000858916505
100,1,509.01,0,1,At Risk,-1.0579108610833896,0.1187051332149778
2,18,4951.41,1,0,Champions,3.4003443613835884,-0.42146309831575546
14,2,2906.85,1,3,Regular Customers,0.8628567693046831,-0.30117216685965686
367,1,173.55,0,1,At Risk,-2.060218570255401,0.5478536076739507
3,1,172.06,0,2,Recent Customers,-0.3369692425993366,-2.3217927357779686
21,5,5005.46,1,0,Champions,1.6013721845577005,0.40464055421318074
